var,val,success_rate
small_ret,large,0.1875
large_ret,small,0.3287037037037037
input,-100,0.43915343915343913
small_limit,-100,0.4494047619047619
input,10,0.4497354497354497
default_ret,neither,0.4523809523809524
large_limit,-1,0.4583333333333333
large_limit,2,0.4583333333333333
input,-1,0.4708994708994709
input,1000,0.5079365079365079
input,0,0.5343915343915344
large_ret,house,0.5447530864197531
input,100,0.5555555555555556
large_limit,2000,0.5580357142857143
large_limit,15,0.5595238095238095
small_limit,10,0.5714285714285714
default_ret,None,0.5783730158730159
small_limit,2,0.5892857142857143
input,2000,0.6666666666666666
input,1000000,0.6666666666666666
small_ret,mouse,0.6682098765432098
small_ret,small,0.6875
small_limit,1000,0.7083333333333334
large_ret,large,0.7314814814814815
