op,input,expected,actual,result,result_emojis,model_input
xor,"['111000', '101010']",'010010',None,f,❌,input/codeparrot/string_bitop/0.txt
xor,"['1', '1']",'0',None,f,❌,input/codeparrot/string_bitop/0.txt
xor,"['0', '0']",'0',None,f,❌,input/codeparrot/string_bitop/0.txt
xor,"['0101', '0000']",'0101',None,f,❌,input/codeparrot/string_bitop/0.txt
and,"['111000', '101010']",'101000',None,f,❌,input/codeparrot/string_bitop/1.txt
and,"['1', '1']",'1',None,f,❌,input/codeparrot/string_bitop/1.txt
and,"['0', '0']",'0',None,f,❌,input/codeparrot/string_bitop/1.txt
and,"['0101', '0000']",'0000',None,f,❌,input/codeparrot/string_bitop/1.txt
nand,"['111000', '101010']",'010111',None,f,❌,input/codeparrot/string_bitop/2.txt
nand,"['1', '1']",'0',None,f,❌,input/codeparrot/string_bitop/2.txt
nand,"['0', '0']",'1',None,f,❌,input/codeparrot/string_bitop/2.txt
nand,"['0101', '0000']",'1111',None,f,❌,input/codeparrot/string_bitop/2.txt
or,"['111000', '101010']",'111010',None,f,❌,input/codeparrot/string_bitop/3.txt
or,"['1', '1']",'1',None,f,❌,input/codeparrot/string_bitop/3.txt
or,"['0', '0']",'0',None,f,❌,input/codeparrot/string_bitop/3.txt
or,"['0101', '0000']",'0101',None,f,❌,input/codeparrot/string_bitop/3.txt
nor,"['111000', '101010']",'000101',None,f,❌,input/codeparrot/string_bitop/4.txt
nor,"['1', '1']",'0',None,f,❌,input/codeparrot/string_bitop/4.txt
nor,"['0', '0']",'1',None,f,❌,input/codeparrot/string_bitop/4.txt
nor,"['0101', '0000']",'1010',None,f,❌,input/codeparrot/string_bitop/4.txt
xnor,"['111000', '101010']",'101101',None,f,❌,input/codeparrot/string_bitop/5.txt
xnor,"['1', '1']",'1',None,f,❌,input/codeparrot/string_bitop/5.txt
xnor,"['0', '0']",'1',None,f,❌,input/codeparrot/string_bitop/5.txt
xnor,"['0101', '0000']",'1010',None,f,❌,input/codeparrot/string_bitop/5.txt
xand,"['111000', '101010']",'101101',None,f,❌,input/codeparrot/string_bitop/6.txt
xand,"['1', '1']",'1',None,f,❌,input/codeparrot/string_bitop/6.txt
xand,"['0', '0']",'1',None,f,❌,input/codeparrot/string_bitop/6.txt
xand,"['0101', '0000']",'1010',None,f,❌,input/codeparrot/string_bitop/6.txt
