type,example_input,input,expected,actual,result,result_emojis,model_input
string,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",['adasd'],None,f,❌,input/codeparrot/filter_types/0.txt
string,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]","['c', 'a', 'b']",None,f,❌,input/codeparrot/filter_types/0.txt
string,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",['adasd'],None,f,❌,input/codeparrot/filter_types/1.txt
string,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]","['c', 'a', 'b']",None,f,❌,input/codeparrot/filter_types/1.txt
integer,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]","[4, 9]",None,f,❌,input/codeparrot/filter_types/2.txt
integer,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]","[3, 3, 3]",None,f,❌,input/codeparrot/filter_types/2.txt
integer,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]","[4, 9]",None,f,❌,input/codeparrot/filter_types/3.txt
integer,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]","[3, 3, 3]",None,f,❌,input/codeparrot/filter_types/3.txt
float,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",[23.2],None,f,❌,input/codeparrot/filter_types/4.txt
float,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",[],None,f,❌,input/codeparrot/filter_types/4.txt
float,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",[23.2],None,f,❌,input/codeparrot/filter_types/5.txt
float,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",[],None,f,❌,input/codeparrot/filter_types/5.txt
dictionary,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",[{}],None,f,❌,input/codeparrot/filter_types/6.txt
dictionary,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",[],None,f,❌,input/codeparrot/filter_types/6.txt
dictionary,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",[{}],None,f,❌,input/codeparrot/filter_types/7.txt
dictionary,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",[],None,f,❌,input/codeparrot/filter_types/7.txt
list,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",[[]],None,f,❌,input/codeparrot/filter_types/8.txt
list,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",[],None,f,❌,input/codeparrot/filter_types/8.txt
list,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",[[]],None,f,❌,input/codeparrot/filter_types/9.txt
list,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",[],None,f,❌,input/codeparrot/filter_types/9.txt
tuple,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",[],None,f,❌,input/codeparrot/filter_types/10.txt
tuple,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",[],None,f,❌,input/codeparrot/filter_types/10.txt
tuple,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",[],None,f,❌,input/codeparrot/filter_types/11.txt
tuple,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",[],None,f,❌,input/codeparrot/filter_types/11.txt
