var,val,success_rate
ret_index,twelfth,0.0
ret_index,eleventh,0.0
ret_index,last,0.0
ret_index,third,0.007716049382716049
input,"[[(50, 48, 36, 98, 60, 87, 36, 59, 89, 93, 71, 22), (76, 29, 28, 90, 47, 46, 23, 55, 19, 85, 45, 36), (49, 11, 35, 56, 47, 46, 93, 58, 21, 13, 67, 38), (71, 53, 48, 58, 17, 20, 40, 59, 25, 23, 40, 48), (14, 47, 43, 95, 32, 35, 54, 42, 95, 59, 48, 5), (96, 67, 48, 87, 32, 14, 73, 30, 61, 95, 25, 44), (100, 100, 49, 30, 77, 62, 22, 70, 86, 6, 16, 68), (71, 55, 32, 14, 59, 58, 89, 77, 30, 75, 53, 34), (95, 31, 31, 67, 58, 80, 43, 3, 98, 26, 91, 26)]]",0.020833333333333332
input,"[[(44, 29, 84, 69, 7, 46, 89, 29, 76, 79, 75, 74), (86, 31, 29, 9, 60, 83, 64, 14, 96, 58, 82, 43), (87, 2, 47, 33, 33, 5, 88, 77, 37, 83, 47, 9), (76, 35, 40, 67, 80, 95, 48, 5, 67, 76, 0, 22), (7, 55, 63, 19, 98, 80, 38, 60, 45, 21, 45, 80), (43, 95, 85, 46, 84, 30, 95, 2, 26, 94, 83, 81), (83, 65, 83, 23, 58, 68, 7, 77, 59, 69, 67, 25), (54, 0, 90, 38, 69, 91, 78, 42, 53, 8, 72, 10)]]",0.027777777777777776
func_name,tuple_extract,0.033950617283950615
cmp_index,first,0.035493827160493825
cmp_index,last,0.037037037037037035
input,"[[(55, 6, 89, 39, 5, 32, 1, 26, 51, 52, 56, 73), (71, 96, 30, 88, 63, 36, 47, 91, 38, 59, 4, 23), (10, 56, 8, 25, 41, 33, 56, 33, 67, 76, 91, 12), (48, 52, 92, 17, 76, 67, 66, 39, 29, 22, 29, 19)]]",0.03935185185185185
input,"[[(26, 17, 20, 65, 61, 75, 18, 5, 70, 19, 85, 3), (39, 13, 63, 87, 70, 80, 22, 19, 17, 62, 91, 24), (43, 34, 73, 94, 43, 81, 72, 56, 33, 50, 4, 83), (66, 81, 61, 22, 79, 59, 1, 92, 37, 90, 31, 65), (83, 44, 57, 35, 72, 8, 100, 90, 63, 2, 73, 17), (58, 84, 36, 76, 36, 3, 86, 13, 0, 64, 4, 86)]]",0.041666666666666664
cmp_index,eleventh,0.044753086419753084
func_name,fibonacci,0.047839506172839504
input,"[[(98, 92, 53, 99, 97, 35, 61, 12, 70, 36, 62, 46), (69, 25, 8, 74, 61, 52, 15, 68, 54, 73, 32, 93), (43, 26, 94, 20, 55, 88, 24, 39, 72, 46, 82, 85), (10, 55, 78, 70, 100, 18, 66, 61, 87, 72, 75, 34), (79, 77, 73, 60, 34, 99, 31, 88, 71, 42, 43, 39)]]",0.05324074074074074
func_name,f,0.06018518518518518
cmp,smallest,0.061213991769547324
func_name,extract_value,0.06635802469135803
cmp,largest,0.06790123456790123
cmp_index,twelfth,0.06790123456790123
input,"[[(26, 91, 80, 82, 40, 42, 48, 16, 48, 44, 56, 7), (77, 65, 36, 2, 56, 5, 58, 44, 81, 2, 4, 39), (89, 32, 7, 50, 65, 30, 21, 55, 83, 52, 42, 4)]]",0.06944444444444445
input,"[[(39, 98, 65, 16, 27, 60, 41, 72, 38, 46, 55, 69), (92, 72, 11, 79, 95, 52, 82, 13, 50, 50, 13, 0), (61, 31, 8, 39, 87, 79, 22, 76, 61, 25, 48, 35), (22, 32, 31, 95, 38, 56, 25, 86, 73, 37, 34, 64), (93, 58, 23, 96, 25, 25, 62, 46, 91, 12, 93, 9), (95, 98, 53, 9, 99, 68, 53, 70, 74, 78, 48, 37), (39, 79, 50, 75, 74, 32, 26, 93, 58, 83, 83, 23)]]",0.07407407407407407
func_name,some_func,0.0787037037037037
cmp_index,third,0.08024691358024691
input,"[[(89, 48, 65, 7, 79, 38, 15, 28, 85, 93, 46, 0), (49, 88, 44, 2, 9, 13, 74, 40, 36, 82, 4, 22)]]",0.08564814814814815
func_name,min_max,0.10030864197530864
ret_index,second,0.1111111111111111
cmp_index,second,0.12191358024691358
input,"[[(21, 42, 45, 7, 65, 93, 29, 68, 50, 97, 50, 23)]]",0.16898148148148148
ret_index,first,0.26851851851851855
